"","all_df_all...1.","long","lat","bike_w_l","security_light_reverse","seoul_scenery","park_loc_area","avgtmp","rain","avghum","pm10","solar","cluster","rank_bike_w_l","rank_security_light_reverse","rank_seoul_scenery","rank_park_loc_area","rank_avgtmp","rank_rain","rank_avghum","rank_pm10","rank_solar"
"11","동대문구",127.077134,37.649734,0.244365940971416,-0.6903837887,1.270868717,-0.8076442074,0.457752180882685,0.165493787019954,0.182765950177907,0.0636640662053704,-0.378819894768518,1,16,5,21.5,4,15,18,17,15,5.5
"12","동작구(기상청)",126.929119,37.616431,-0.716093650867865,-0.3118587948,1.270868717,0.08351451309,0.581706021536495,-0.0936142330832222,-0.762293784802278,-0.459134579401389,0.438330669365741,1,6,6,21.5,18,16,10,2,5,23.5
"13","마포구",126.941155,37.574997,0.0350916681180987,-0.2589865314,1.270868717,-0.1967841756,0.188925689293583,-0.47664247839137,0.779291710376019,0.433714006585565,0.438330668439815,1,13,8,21.5,13,12,2,22,20,17
"14","서대문구",126.910326,37.556708,2.62300591076055,-0.2535982753,1.270868717,-0.02218809361,-0.500514596175232,0.0554061599049167,0.534447304150963,-0.124552568339259,0.438330668439815,6,25,10,21.5,16,7,15,20,11,17
"15","서초구",126.857526,37.52194,0.184758801780371,-0.9867378765,-0.9985397063,2.731933097,0.775034423722222,0.183337959368519,-0.689117835187685,0.532643628836389,-0.378819893842593,3,15,2,6,25,19,19,3,23,11.5
"16","성동구",126.824859,37.55844,0.947524448869577,0.5644063602,-0.9985397063,-0.7615028469,0.838939529494444,0.0300370414440741,-0.475021967928519,0.365301715036991,-0.378819894768518,2,21,18,6,6,21,14,5,18,5.5
"17","성북구",126.858351,37.491581,-1.12748180905187,0.8725472582,0.1361645054,-0.6047063692,-0.328583398645556,0.155127104541435,-0.123224326540287,-0.500997945399732,-0.378819894768518,4,4,20.5,14.5,8,8,17,11,4,5.5
"18","송파구",126.902894,37.457775,0.948073514595274,0.1141502064,1.270868717,-0.1545648376,0.943369241867593,-0.0418467031963889,-0.0165726806710185,-0.3908327746395,-0.378819894768518,1,22,14,21.5,14,24,11,14,7,5.5
"19","양천구",126.912303,37.519739,0.409720580403409,0.5893270448,1.270868717,-0.6033066953,0.836571372537963,-0.186823737106926,-0.429140281232222,0.134611573504722,0.438330668439815,1,19,19,21.5,9,20,7,6,17,17
"20","영등포구",126.953734,37.496075,0.304194582224638,-0.2562924034,-0.9985397063,-0.817032352,0.9615550646,-0.278006554337685,0.802297867857407,0.961015216451464,0.438330668439815,5,18,9,6,3,25,4,23,25,17
"21","용산구",126.947435,37.46457,-0.574738537859108,0.8725472582,1.270868717,-0.8656640976,0.68959508512963,-0.379358375804824,-1.51365342179433,-0.446081158631518,0.438330668439815,1,9,20.5,21.5,2,17,3,1,6,17
"22","은평구",127.033245,37.47074,0.0825952948257831,-0.2465261891,-0.9985397063,-0.08280731934,-1.45584605539278,-0.258609933597639,-0.03058806489575,-0.265437914253991,0.438330668439815,5,14,11,6,15,2,6,13,9,17
"23","종로구",127.065334,37.493712,-1.2529691525653,-0.1781626893,1.270868717,0.1386458595,-2.39377021512222,0.5101277837325,-0.403416623106583,-0.0939214863421389,0.438330669365741,7,2,12,21.5,21,1,24,7,12,23.5
"24","중구",127.118003,37.502168,-1.40218108027203,1.103905506,0.1361645054,0.08848137299,-1.17575923255278,-0.887353526949444,-0.241027052185417,-0.352243296970259,0.438330669365741,7,1,24,14.5,20,5,1,9,8,23.5
"25","중랑구",127.149107,37.547522,-0.971452054533402,-0.28188662,-0.9985397063,1.008738549,0.923972574221296,0.382472138821111,-0.0769654730847963,-0.046802247604537,-0.378819894768518,5,5,7,6,22,23,23,12,13,5.5
