"long","lat","order","piece","id","group"
127.071974725,37.494085846,2,"1","9125","9125.1"
127.072351678,37.494426587,3,"1","9125","9125.1"
127.072388732,37.49451655,4,"1","9125","9125.1"
127.031429528,37.662281689,1,"1","9126","9126.1"
127.031305714,37.662270648,2,"1","9126","9126.1"
127.080033449,37.593890682,1,"1","9127","9127.1"
127.080027709,37.593281829,2,"1","9127","9127.1"
126.922432005,37.605795578,1,"1","9128","9128.1"
126.92222272,37.605373338,2,"1","9128","9128.1"
126.886166898,37.574159096,1,"1","9129","9129.1"
126.886557009,37.57392827,2,"1","9129","9129.1"
127.034424424,37.598688651,1,"1","9130","9130.1"
127.034633923,37.598196429,2,"1","9130","9130.1"
127.021415452,37.58616354,1,"1","9131","9131.1"
127.021194242,37.586107168,2,"1","9131","9131.1"
127.036103606,37.650639563,1,"1","9132","9132.1"
127.036223808,37.650834227,2,"1","9132","9132.1"
127.060993091,37.612839224,1,"1","9133","9133.1"
127.061522818,37.61316666,2,"1","9133","9133.1"
127.078383041,37.606458364,1,"1","9134","9134.1"
127.078573374,37.605436462,2,"1","9134","9134.1"
127.035277033,37.596384457,1,"1","9135","9135.1"
127.03543629,37.595717269,2,"1","9135","9135.1"
127.062829976,37.651692386,1,"1","9136","9136.1"
127.063942425,37.651950567,2,"1","9136","9136.1"
127.067162039,37.650347639,1,"1","9137","9137.1"
127.066477368,37.650076025,2,"1","9137","9137.1"
127.047513975,37.626357271,1,"1","9138","9138.1"
127.048752671,37.62498811,2,"1","9138","9138.1"
127.049287374,37.624374307,3,"1","9138","9138.1"
