관리일자,지사,노선코드,노선명,방향,차로,시점,종점,포장형태,표층재,교면구분,교량명,공사구분
1997,원주지사,0500,영동선,인천,2,135,135,콘크리트,JCP,토공부,,확장
1997,원주지사,0500,영동선,인천,2,135,135,아스팔트,일반아스팔트,교량부,평장2교,확장
1994,원주지사,0500,영동선,인천,1,109,109,아스팔트,일반아스팔트,교량부,둔번1교,확장
1997,원주지사,0500,영동선,인천,2,142,142,콘크리트,JCP,토공부,,확장
20080826,원주지사,0500,영동선,인천,1,114,114,아스팔트,,토공부,,확장
20080826,원주지사,0500,영동선,인천,1,114,114,아스팔트,,토공부,,확장
1997,원주지사,0500,영동선,인천,2,140,140,아스팔트,일반아스팔트,교량부,교항2교,확장
2000,대관령지사,0500,영동선,강릉,1,215,215,아스팔트,SMA,토공부,,확장
2001,대관령지사,0500,영동선,강릉,1,215,217,콘크리트,JCP,터널부,대관령1터널,확장
2001,대관령지사,0500,영동선,강릉,1,217,217,아스팔트,SMA,토공부,,확장
1997,원주지사,0500,영동선,인천,2,142,142,아스팔트,일반아스팔트,교량부,법주2교,확장
20080826,원주지사,0500,영동선,인천,1,114,115,아스팔트,,토공부,,확장
20080826,원주지사,0500,영동선,인천,1,115,115,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,111,111,아스팔트,일반아스팔트,교량부,궁촌교,확장
1994,원주지사,0500,영동선,인천,2,111,111,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,2,111,111,아스팔트,일반아스팔트,교량부,궁말육교,확장
1994,원주지사,0500,영동선,인천,2,112,112,아스팔트,일반아스팔트,교량부,포진1교,확장
1994,원주지사,0500,영동선,인천,2,112,112,아스팔트,일반아스팔트,교량부,포진2교,확장
20120628,군포지사,0500,영동선,인천,3,28,28,아스팔트,,토공부,,확장
1999,원주지사,0500,영동선,인천,1,151,152,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,2,148,148,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,2,148,149,아스팔트,일반아스팔트,교량부,횡성대교,확장
1999,원주지사,0500,영동선,강릉,2,155,155,아스팔트,일반아스팔트,교량부,현천1교,확장
1994,원주지사,0500,영동선,강릉,2,112,113,아스팔트,일반아스팔트,교량부,포진2교,확장
1994,원주지사,0500,영동선,강릉,2,113,113,콘크리트,JCP,토공부,,확장
1999,원주지사,0500,영동선,강릉,1,159,160,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,1,148,148,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,1,148,149,아스팔트,일반아스팔트,교량부,횡성대교,확장
1999,원주지사,0500,영동선,강릉,1,149,151,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,1,151,151,아스팔트,일반아스팔트,교량부,상대3교,확장
1999,원주지사,0500,영동선,강릉,1,151,152,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,1,152,155,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,1,155,155,아스팔트,일반아스팔트,교량부,현천1교,확장
2007,진안지사,0205,익산장수선,장수,2,13,14,콘크리트,LMC,교량부,명덕1교,신설
2007,진안지사,0205,익산장수선,장수,2,14,14,콘크리트,JCP,토공부,,신설
1999,원주지사,0500,영동선,강릉,1,159,159,아스팔트,일반아스팔트,교량부,현천3교,확장
2007,진안지사,0205,익산장수선,장수,2,17,17,콘크리트,JCP,토공부,,신설
2007,진안지사,0205,익산장수선,장수,2,17,17,콘크리트,LMC,교량부,황운교,신설
2007,진안지사,0205,익산장수선,장수,2,16,16,콘크리트,LMC,교량부,죽절교,신설
1999,원주지사,0500,영동선,강릉,2,160,160,아스팔트,SMA,,주천강교,덧씌우기
1999,원주지사,0500,영동선,강릉,1,160,160,아스팔트,일반아스팔트,토공부,,확장
2007,진안지사,0205,익산장수선,장수,2,16,16,콘크리트,JCP,토공부,,신설
2007,진안지사,0205,익산장수선,장수,2,16,17,콘크리트,LMC,교량부,소양I.C교,신설
2007,진안지사,0205,익산장수선,장수,2,17,18,콘크리트,JCP,토공부,,신설
2001,군포지사,0500,영동선,인천,3,36,36,아스팔트,일반아스팔트,교량부,쇠죽교,확장
20101202,진주지사,0102,남해선(순천부산),부산,2,39,39,아스팔트,,교량부,성평교,확장
1999,원주지사,0500,영동선,강릉,1,144,144,아스팔트,일반아스팔트,교량부,오원1교,확장
1999,원주지사,0500,영동선,강릉,1,144,144,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,1,144,144,아스팔트,일반아스팔트,교량부,오원2교,확장
1999,원주지사,0500,영동선,강릉,1,144,145,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,94,94,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,94,94,아스팔트,일반아스팔트,교량부,점봉교,확장
1994,원주지사,0500,영동선,인천,2,94,94,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,94,94,아스팔트,일반아스팔트,교량부,여주IC교,확장
1994,원주지사,0500,영동선,인천,2,94,95,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,95,96,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,2,96,96,콘크리트,JCP,토공부,,확장
20150515,홍천지사,0550,중앙선,부산,1,344,344,아스팔트,,교량부,금계천2교,신설
20150515,홍천지사,0550,중앙선,부산,1,346,347,콘크리트,JCP,토공부,,신설
1994,원주지사,0500,영동선,인천,2,97,97,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,97,97,아스팔트,일반아스팔트,교량부,남한강교,확장
1994,원주지사,0500,영동선,인천,2,97,98,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,98,98,아스팔트,일반아스팔트,교량부,가야교,확장
1994,원주지사,0500,영동선,인천,2,98,98,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,117,117,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,2,117,118,콘크리트,JCP,토공부,,확장
20150515,홍천지사,0550,중앙선,부산,2,346,346,아스팔트,,교량부,공근교,신설
2001,울산지사,0010,경부선,서울,2,52,53,아스팔트,일반아스팔트,토공부,,선형개량
1999,대관령지사,0500,영동선,강릉,1,162,162,아스팔트,일반아스팔트,교량부,우용2교,확장
1999,대관령지사,0500,영동선,인천,1,162,162,아스팔트,일반아스팔트,교량부,우용2교,확장
1999,대관령지사,0500,영동선,강릉,1,162,163,아스팔트,일반아스팔트,토공부,,확장
20150515,홍천지사,0550,중앙선,부산,2,346,346,아스팔트,,토공부,,신설
1999,대관령지사,0500,영동선,강릉,1,163,163,아스팔트,일반아스팔트,교량부,두원교,확장
1999,대관령지사,0500,영동선,인천,1,163,163,아스팔트,일반아스팔트,교량부,두원교,확장
1994,원주지사,0500,영동선,인천,2,113,113,아스팔트,일반아스팔트,교량부,포진3교,확장
1994,원주지사,0500,영동선,인천,2,115,115,아스팔트,일반아스팔트,교량부,건등1교,확장
1994,원주지사,0500,영동선,인천,2,115,115,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,2,115,115,아스팔트,일반아스팔트,교량부,건등2교,확장
1994,원주지사,0500,영동선,인천,2,115,116,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,2,116,116,아스팔트,일반아스팔트,교량부,덕남교,확장
1994,원주지사,0500,영동선,인천,2,116,116,아스팔트,일반아스팔트,교량부,연주1교,확장
1994,원주지사,0500,영동선,인천,2,116,117,아스팔트,일반아스팔트,교량부,연주2교,확장
1994,원주지사,0500,영동선,인천,2,117,117,아스팔트,일반아스팔트,토공부,,확장
20140827,제천지사,0550,중앙선,부산,1,306,307,아스팔트,일반아스팔트,토공부,,확장
2001,산청지사,0350,통영대전선,중부선,하남,1,123,123,콘크리트,JCP,토공부,,신설
1994,원주지사,0500,영동선,인천,2,117,117,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,117,117,콘크리트,JCP,토공부,,확장
1999,원주지사,0500,영동선,인천,2,145,145,아스팔트,일반아스팔트,교량부,오원3교,확장
1999,원주지사,0500,영동선,인천,2,145,146,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,146,146,아스팔트,일반아스팔트,교량부,대미원천교,확장
1997,원주지사,0500,영동선,강릉,2,131,131,콘크리트,JCP,토공부,,확장
20081119,산청지사,0350,통영대전선,중부선,통영,2,124,124,아스팔트,,교량부,송계1교,신설
1998,산청지사,0350,통영대전선,중부선,통영,2,92,92,아스팔트,일반아스팔트,교량부,특리1교,신설
1999,원주지사,0500,영동선,인천,2,148,148,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,148,148,아스팔트,일반아스팔트,교량부,상대2교,확장
1999,원주지사,0500,영동선,인천,2,148,148,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,148,149,아스팔트,일반아스팔트,교량부,횡성대교,확장
20081112,산청지사,0350,통영대전선,중부선,통영,2,95,95,아스팔트,,토공부,,신설
