2015 07 09              0.44              0.44              -999              4.99
2015 07 10              0.40              0.40              -999              4.62
2015 07 11              0.52              0.52              -999              6.02
2015 07 12              0.10              0.10              -999              1.13
2015 07 13              0.20              0.20              -999              2.21
2015 07 14              0.56              0.56              -999              6.39
2015 07 15              0.57              0.57              6.83              6.42
2015 07 16              0.54              0.54              -999              6.03
2015 07 17              0.57              0.57              -999              6.33
2015 07 18              0.27              0.27              -999              2.99
2015 07 19              0.36              0.36              -999              4.13
2015 07 20              0.22              0.22              -999              2.41
2015 07 21              0.44              0.44              -999              4.92
2015 07 22              0.42              0.42              -999              4.73
2015 07 23              0.32              0.32              -999              3.53
2015 07 24              0.11              0.11              -999              1.19
2015 07 25              0.09              0.09              -999              0.94
2015 07 26              0.30              0.30              -999              3.40
2015 07 27              0.26              0.26              -999              2.88
2015 07 28              0.52              0.52              -999              5.65
2015 07 29              0.26              0.26              -999              2.85
2015 07 30              0.48              0.48              -999              5.35
2015 07 31              0.43              0.43              6.35              4.73
2015 08 01              0.44              0.44              -999              4.76
2015 08 02              0.32              0.32              -999              3.39
2015 08 03              0.47              0.47              -999              5.06
2015 08 04              0.44              0.44              -999              4.79
2015 08 05              0.47              0.47              -999              5.01
2015 08 06              0.59              0.59              -999              6.46
2015 08 07              0.58              0.58              6.55              6.34
2015 08 08              0.31              0.31              -999              3.29
2015 08 09              0.49              0.49              -999              5.28
2015 08 10              0.52              0.52              -999              5.53
2015 08 11              0.36              0.36              -999              3.74
2015 08 12              0.62              0.62              -999              6.35
2015 08 13              0.60              0.60              6.44              6.19
2015 08 14              0.58              0.58              6.41              6.12
2015 08 15              0.50              0.50              -999              5.06
2015 08 16              0.23              0.23              -999              2.38
2015 08 17              0.63              0.63              6.33              6.28
2015 08 18              0.59              0.59              6.27              6.10
2015 08 19              0.39              0.39              -999              3.99
2015 08 20              0.23              0.23              -999              2.29
2015 08 21              0.44              0.44              -999              4.35
2015 08 22              0.47              0.47              -999              4.72
2015 08 23              0.62              0.62              6.20              5.99
2015 08 24              0.39              0.39              -999              3.77
2015 08 25              0.17              0.17              -999              1.63
2015 08 26              0.32              0.32              -999              3.14
2015 08 27              0.63              0.63              6.01              5.96
2015 08 28              0.57              0.57              -999              5.49
2015 08 29              0.59              0.59              -999              5.83
2015 08 30              0.57              0.57              5.88              5.58
2015 08 31              0.57              0.57              -999              5.55
2015 09 01              0.57              0.57              -999              5.36
2015 09 02              0.30              0.30              -999              2.84
2015 09 03              0.58              0.58              5.73              5.34
2015 09 04              0.62              0.62              -999              5.71
2015 09 05              0.11              0.11              -999              0.98
2015 09 06              0.49              0.49              -999              4.47
2015 09 07              0.64              0.64              5.78              5.77
2015 09 08              0.67              0.67              5.84              5.84
2015 09 09              0.64              0.64              5.78              5.75
2015 09 10              0.62              0.62              5.51              5.48
2015 09 11              0.19              0.19              -999              1.71
2015 09 12              0.44              0.44              -999              3.83
2015 09 13              0.62              0.62              5.53              5.51
2015 09 14              0.59              0.59              5.39              5.29
2015 09 15              0.60              0.60              5.41              5.26
2015 09 16              0.61              0.61              5.43              5.30
2015 09 17              0.63              0.63              5.36              5.32
2015 09 18              0.60              0.60              5.29              5.24
2015 09 19              0.59              0.59              5.18              5.07
2015 09 20              0.54              0.54              -999              4.55
2015 09 21              0.61              0.61              5.23              5.09
2015 09 22              0.60              0.60              5.11              5.05
2015 09 23              0.23              0.23              -999              1.85
2015 09 24              0.58              0.58              -999              4.83
