2009 04 01    9.55    3.68   -1.81    8.38   -1.18    3.10              0.62              0.62              -999              5.66
2009 04 02   13.37    5.83   -0.22   12.02   -1.35    4.63              0.70              0.70              6.68              6.51
2009 04 03    7.81    5.98    1.31   10.14    2.33    5.44              0.53              0.53              -999              4.85
2009 04 04    9.24    7.20    3.25   12.19    2.96    6.41              0.55              0.55              6.57              5.05
2009 04 05   11.56    7.65    2.38   14.21    2.65    7.38              0.61              0.61              -999              5.59
2009 04 06   12.88    8.17    3.13   15.13    2.25    7.29              0.69              0.69              6.74              6.38
2009 04 07   14.48    9.93    4.38   18.00    3.52    9.16              0.70              0.70              6.74              6.67
2009 04 08   14.69   11.05    4.78   20.22    5.53   12.31              0.69              0.69              6.76              6.64
2009 04 09   13.80   11.75    5.81   20.81    7.01   12.86              0.71              0.71              6.84              6.61
2009 04 10   14.40   11.68    6.30   20.80    6.40   12.43              0.73              0.73              6.94              6.84
2009 04 11   14.53   12.64    5.75   21.45    6.92   13.51              0.67              0.67              6.99              6.50
2009 04 12   10.04   12.74    6.13   18.72    8.68   12.95              0.50              0.50              -999              4.85
2009 04 13    9.01   11.60    8.92   16.19    7.18   11.73              0.46              0.46              -999              4.45
2009 04 14   10.14   12.10    5.61   18.16    8.02   11.96              0.65              0.65              -999              6.23
2009 04 15    7.72    7.73    5.31   11.46    3.74    7.74              0.16              0.16              -999              1.58
2009 04 16   11.71    9.03    2.38   13.83    2.12    7.69              0.63              0.63              7.12              6.25
2009 04 17   14.85    9.87    0.11   16.50    1.65    8.90              0.73              0.73              7.23              7.15
2009 04 18   12.79   11.07    3.35   17.90    5.11   11.19              0.69              0.69              -999              6.99
2009 04 19   13.82   13.03    6.46   21.03    7.21   13.84              0.53              0.53              -999              5.33
2009 04 20    4.83   11.87    9.97   14.50    9.67   12.11              0.10              0.10              -999              1.05
2009 04 21    3.59    8.80    6.20   10.13    6.54    8.51              0.25              0.25              -999              2.53
2009 04 22    9.10    8.99    3.65   12.76    3.66    8.23              0.58              0.58              -999              5.94
2009 04 23   12.15    9.79    3.70   14.26    2.10    9.13              0.60              0.60              -999              6.22
2009 04 24    8.35   10.95    7.53   15.75    7.39   10.84              0.22              0.22              -999              2.26
2009 04 25    7.62    9.52    6.00   11.72    4.10    8.65              0.21              0.21              -999              2.19
2009 04 26    7.83    8.65    4.00   11.33    3.50    7.63              0.47              0.47              -999              4.92
2009 04 27   12.32   10.12    4.23   16.17    3.84    9.83              0.69              0.69              7.46              7.20
2009 04 28   13.18   11.49    5.08   18.58    5.40   11.39              0.70              0.70              7.50              7.27
2009 04 29   12.12   12.06    4.94   19.53    7.41   12.52              0.72              0.72              7.92              7.78
2009 04 30   10.84   10.02    5.20   16.08    5.24   10.81              0.54              0.54              -999              5.71
2009 05 01   12.68   13.15    8.34   19.27    6.60   13.14              0.72              0.72              7.51              7.38
2009 05 02    6.09   11.65   10.52   14.65    8.56   11.69              0.19              0.19              -999              2.05
2009 05 03   10.36   13.85    9.62   19.37    9.00   13.31              0.65              0.65              7.56              7.05
2009 05 04   10.24   13.85    9.72   18.71    8.47   12.83              0.61              0.61              7.59              6.62
2009 05 05   16.68   15.80   10.36   24.40    7.72   15.91              0.67              0.67              7.91              7.22
2009 05 06   14.76   17.39    9.31   26.15   11.39   18.12              0.71              0.71              7.68              7.52
2009 05 07   13.36   16.41    7.49   24.26   10.90   16.98              0.70              0.70              7.85              7.77
2009 05 08   13.17   17.43   10.97   24.12   10.95   16.86              0.67              0.67              7.54              7.39
