"","X","long","lat","지번주소","cluster"
"225",225,127.0520815,37.48464087,"강남구",2
"226",226,127.0520825,37.48472283,"강남구",2
"227",227,127.0532155,37.48539853,"강남구",2
"228",228,127.0542489,37.48600329,"강남구",2
"229",229,127.0567826,37.48727072,"강남구",2
"230",230,127.0569956,37.48755132,"강남구",2
"231",231,127.0569956,37.48755132,"강남구",2
"232",232,127.0569956,37.48755132,"강남구",2
"233",233,127.0529592,37.48298285,"강남구",2
"234",234,127.0534822,37.48219296,"강남구",2
"235",235,127.0566593,37.47783896,"강남구",2
"236",236,127.0568221,37.47766875,"강남구",2
"237",237,127.0569576,37.47811381,"강남구",2
"238",238,127.0567361,37.47775869,"강남구",2
"239",239,127.0561357,37.47894859,"강남구",2
"240",240,127.0541975,37.48025436,"강남구",2
"241",241,127.0549694,37.47958191,"강남구",2
"242",242,127.0566593,37.47783896,"강남구",2
"243",243,127.0586132,37.47633213,"강남구",2
"244",244,127.0586791,37.47637101,"강남구",2
"245",245,127.0586118,37.47633126,"강남구",2
"246",246,127.0535143,37.48114449,"강남구",2
"247",247,127.0537398,37.4808319,"강남구",2
"248",248,127.0535143,37.48114449,"강남구",2
"249",249,127.0536281,37.48098679,"강남구",2
"250",250,127.0537398,37.4808319,"강남구",2
"251",251,127.0535143,37.48114449,"강남구",2
"252",252,127.0518257,37.48426878,"강남구",2
"253",253,127.0518257,37.48426878,"강남구",2
"254",254,127.0518257,37.48426878,"강남구",2
"255",255,127.0583381,37.47616979,"강남구",2
"256",256,127.0584049,37.47620919,"강남구",2
"257",257,127.0583381,37.47616979,"강남구",2
"258",258,127.0583381,37.47616979,"강남구",2
"259",259,127.0722881,37.49316648,"강남구",3
"260",260,127.0724317,37.49330245,"강남구",3
"261",261,127.0724228,37.49331126,"강남구",3
"262",262,127.072336,37.49328482,"강남구",3
"263",263,127.0725477,37.49371885,"강남구",3
"264",264,127.072222,37.49362806,"강남구",3
"265",265,127.0725477,37.49371885,"강남구",3
"266",266,127.0540837,37.48102802,"강남구",2
"267",267,127.0550781,37.48002269,"강남구",2
"268",268,127.0540837,37.48102802,"강남구",2
"269",269,127.035097,37.51923833,"강남구",1
"270",270,127.0355928,37.51782957,"강남구",1
"271",271,127.035613,37.51572147,"강남구",1
"272",272,127.035613,37.51572147,"강남구",1
"273",273,127.0356047,37.51521701,"강남구",1
"274",274,127.0356114,37.51432891,"강남구",1
"275",275,127.0356371,37.5131223,"강남구",1
"276",276,127.0356371,37.5131223,"강남구",1
"277",277,127.0356371,37.5131223,"강남구",1
"278",278,127.0357465,37.51258786,"강남구",1
"279",279,127.0361993,37.51152357,"강남구",1
"280",280,127.0364598,37.51111654,"강남구",1
"281",281,127.0368302,37.51068111,"강남구",1
"282",282,127.0384933,37.5090143,"강남구",1
"283",283,127.0384933,37.5090143,"강남구",1
"284",284,127.0336726,37.52144893,"강남구",1
"285",285,127.0340736,37.52156136,"강남구",1
"286",286,127.0343905,37.52082512,"강남구",1
"287",287,127.0356144,37.51468925,"강남구",1
"288",288,127.0346299,37.52026603,"강남구",1
"289",289,127.0365509,37.51042699,"강남구",1
"290",290,127.0380398,37.50884975,"강남구",1
"291",291,127.0380398,37.50884975,"강남구",1
"292",292,127.0380398,37.50884975,"강남구",1
"293",293,127.0372942,37.50960942,"강남구",1
"294",294,127.0372942,37.50960942,"강남구",1
"295",295,127.0359262,37.5112491,"강남구",1
"296",296,127.036293,37.51073055,"강남구",1
"297",297,127.0356284,37.51178716,"강남구",1
"298",298,127.0356284,37.51178716,"강남구",1
"299",299,127.0353656,37.51243477,"강남구",1
"300",300,127.0352399,37.51306316,"강남구",1
"301",301,127.0352194,37.51317827,"강남구",1
"302",302,127.0351912,37.51344452,"강남구",1
"303",303,127.0352194,37.51317827,"강남구",1
